2017-08-16 16:16:33 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID f109a8f2 (outbound) of Remoting connection 59f14f1b to localhost/127.0.0.1:8080 can no longer process messages
2017-08-16 16:16:33 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID 8e192b64 (outbound) of Remoting connection 11eb73bf to localhost/127.0.0.1:8080 can no longer process messages
2017-08-16 16:16:33 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID fac60462 (outbound) of Remoting connection 0ddea35a to localhost/127.0.0.1:8080 can no longer process messages
2017-08-16 16:16:33 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID a5b3356e (outbound) of Remoting connection 425479cd to localhost/127.0.0.1:8080 can no longer process messages
2017-08-16 16:16:33 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID cb813d9e (outbound) of Remoting connection 44e59345 to localhost/127.0.0.1:8080 can no longer process messages
2017-08-16 16:16:33 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID aa5af39a (outbound) of Remoting connection 7c2a893d to localhost/127.0.0.1:8080 can no longer process messages
2017-08-16 16:16:33 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID cdbdd4b0 (outbound) of Remoting connection 788975f8 to localhost/127.0.0.1:8080 can no longer process messages
2017-08-16 16:16:33 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID c509049b (outbound) of Remoting connection 7ee1d7c1 to localhost/127.0.0.1:8080 can no longer process messages
2017-08-16 16:16:33 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID 92cb9eef (outbound) of Remoting connection 57b53426 to localhost/127.0.0.1:8080 can no longer process messages
2017-08-16 16:17:28 INFO  xnio:93 - XNIO version 3.3.4.Final
2017-08-16 16:17:28 INFO  nio:55 - XNIO NIO Implementation Version 3.3.4.Final
2017-08-16 16:17:28 INFO  remoting:73 - JBoss Remoting version 4.0.18.Final
2017-08-16 16:17:28 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
2017-08-16 16:17:28 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@6953eab7, receiver=Remoting connection EJB receiver [connection=Remoting connection <e130e0b>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID aaa91df2 (outbound) of Remoting connection 01dbde95 to localhost/127.0.0.1:8080
2017-08-16 16:17:28 INFO  client:45 - JBoss EJB Client version 2.1.4.Final
2017-08-16 16:17:49 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
2017-08-16 16:17:49 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@4560d031, receiver=Remoting connection EJB receiver [connection=Remoting connection <4a582043>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID d293fc24 (outbound) of Remoting connection 285e146c to localhost/127.0.0.1:8080
2017-08-16 16:20:57 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID d293fc24 (outbound) of Remoting connection 285e146c to localhost/127.0.0.1:8080 can no longer process messages
2017-08-16 16:20:57 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID aaa91df2 (outbound) of Remoting connection 01dbde95 to localhost/127.0.0.1:8080 can no longer process messages
2017-08-16 16:23:40 INFO  xnio:93 - XNIO version 3.3.4.Final
2017-08-16 16:23:40 INFO  nio:55 - XNIO NIO Implementation Version 3.3.4.Final
2017-08-16 16:23:40 INFO  remoting:73 - JBoss Remoting version 4.0.18.Final
2017-08-16 16:23:40 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
2017-08-16 16:23:40 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@29113351, receiver=Remoting connection EJB receiver [connection=Remoting connection <763c17d5>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID d6ef38ca (outbound) of Remoting connection 2e53a253 to localhost/127.0.0.1:8080
2017-08-16 16:23:40 INFO  client:45 - JBoss EJB Client version 2.1.4.Final
2017-08-16 16:26:13 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
2017-08-16 16:26:13 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@2ff8dea, receiver=Remoting connection EJB receiver [connection=Remoting connection <4326b4>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID ac19e220 (outbound) of Remoting connection 27dd30d6 to localhost/127.0.0.1:8080
2017-08-16 16:32:58 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID d6ef38ca (outbound) of Remoting connection 2e53a253 to localhost/127.0.0.1:8080 can no longer process messages
2017-08-16 16:32:58 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID ac19e220 (outbound) of Remoting connection 27dd30d6 to localhost/127.0.0.1:8080 can no longer process messages
2017-08-16 16:36:15 INFO  xnio:93 - XNIO version 3.3.4.Final
2017-08-16 16:36:15 INFO  nio:55 - XNIO NIO Implementation Version 3.3.4.Final
2017-08-16 16:36:15 INFO  remoting:73 - JBoss Remoting version 4.0.18.Final
2017-08-16 16:36:15 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
2017-08-16 16:36:15 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@15e6115a, receiver=Remoting connection EJB receiver [connection=Remoting connection <6a468edb>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID ca4d9197 (outbound) of Remoting connection 4eaffc57 to localhost/127.0.0.1:8080
2017-08-16 16:36:15 INFO  client:45 - JBoss EJB Client version 2.1.4.Final
2017-08-16 16:37:48 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
2017-08-16 16:37:48 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@199922f, receiver=Remoting connection EJB receiver [connection=Remoting connection <4e9c7321>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID ff75bbde (outbound) of Remoting connection 4560d031 to localhost/127.0.0.1:8080
2017-08-16 16:50:04 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID ff75bbde (outbound) of Remoting connection 4560d031 to localhost/127.0.0.1:8080 can no longer process messages
